level,bank,addr,vdc,len,vaddr,,,,
1_1,,,,,,,,,
,30h,520fh,1,6h,4e00h,,,,
,30h,4e43h,2,0ch,7100h,,,,
,30h,5451h,2,18h,3e00h,,"""head stone""",,190h
,31h,535dh,2,17h,4d00h,,,,
,31h,4318h,1,15h,5400h,,"""skull plant""",,1b0h
,32h,40fdh,2,22h,5800h,,,,
,32h,4dc7h,2,20h,6900h,,,,
,32h,5afdh,1,8eh,5a00h,,"""reaper""",,190h
,35h,577bh,2,14h,6100h,,,,
,35h,5cc6h,2,0ah,6600h,,,,
,36h,5f5fh,2,0eh,5480h,,,,
,36h,4355h,1,03h,5200h,,,,
,36h,44a0h,1,01h,53c0h,,,,
,36h,442ah,2,01h,77c0h,,,,
,3fh,4657h,1,04h,5100h,,,,
,3fh,564bh,2,07h,52c0h,,,,
,43h,4e5ah,2,20h,4500h,,,,
,46h,57b1h,2,77h,2000h,,"""vulture""",,1d0h
1_2,,,,,,,,,
